-1.208059684205066375e+00,6.458106952557293168e-01,-1.267899603323133784e-01,-8.784404484024669335e-01,-1.055987945460011568e-02
-3.727519815255089797e-01,-1.685664188590080492e+00,7.261203090325692999e-01,1.402091703308212978e+00,2.776309421758142975e-03
1.879464652175163453e-01,-1.612449417907820592e+00,1.881475238207427902e-01,-9.385554807058594795e-01,8.556263374741544803e-03
-2.815209225476016375e-01,2.221809152462149717e-01,1.090015759763893088e+00,1.171133724770145879e-02,1.402741313905111337e-02
-1.464933885368592925e+00,-2.016936472034230210e+00,5.060393521114000537e-01,-1.212299961960885630e+00,2.240191035325946739e-02
1.462793516244546288e-01,8.240291830312588273e-01,-6.577759704732528689e-01,-4.290140077327775359e-01,-4.367266044498645076e-03
-5.649782169017814049e-01,1.486399578260352961e+00,7.744912463782342993e-01,-7.497920131683943890e-01,3.112763827697896495e-03
7.280706098296328976e-01,-4.290125757382039495e-01,-5.600662523220412137e-01,2.636593279825582004e-01,6.726054150168017318e-03
1.332956286773880228e+00,-1.813831683965128061e+00,-4.637454124256275567e-01,9.167788377061725225e-01,1.568775871082344481e-02
-1.466046038600633539e-01,5.305096376039364348e-01,1.611293498138671038e-02,1.280535325949969883e+00,2.151998666025510196e-02
