,growth,inflation,liquidity,risk app,return,type,cluster
0,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,0.026915320398288808,0,1
1,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.018163142564596613,1,1
2,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.011230162169184044,2,1
3,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.0016207455429497752,4,1
4,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,0.007207310682469048,5,1
5,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.06792452830188668,7,1
6,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.002551671344730777,8,1
7,-0.8813907777079009,-1.2510016838321971,1.2905524649920894,0.48720243323405105,-0.022699133305819297,9,1
8,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,0.006109518244262091,0,1
9,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,0.0058730309609464895,1,1
10,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,-0.014884009409253053,2,1
11,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,0.012675337402597409,4,1
12,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,0.003984120535682757,5,1
13,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,0.05870445344129549,7,1
14,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,-0.027628549501151126,8,1
15,-0.8731487432379781,-1.3347142644796322,1.3042032583589618,2.00454462554093,-0.2242398648648648,9,1
16,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,-0.04378604043724599,0,1
17,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,-0.02897736618227653,1,1
18,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,-0.0738469415891182,2,1
19,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,0.0023724935579532147,4,1
20,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,0.0065736231595983075,5,1
21,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,-0.02390057361376674,7,1
22,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,0.019468560905024912,8,1
23,-0.8672717427293909,-1.474224083853548,1.0659302497300165,0.6963711954279139,0.023407729994556314,9,1
24,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.02261269851022396,0,1
25,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.002449130740939109,1,1
26,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.030205048757724562,2,1
27,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,-0.002085445337761227,4,1
28,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.012197444143534186,5,1
29,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.08961802154750242,7,1
30,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,-0.0015483870967742954,8,1
31,-0.8517062425340143,-2.002406378138499,0.7979875841882534,1.8066444587786699,0.02659574468085113,9,1
32,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.05623438425653315,0,1
33,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.026818454393138902,1,1
34,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.017181219752045784,2,1
35,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.01643632865010436,4,1
36,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.023505189118006697,5,1
37,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,0.09573033707865176,7,1
38,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,-0.02377875420005171,8,1
39,-0.8704284058818819,-2.0086937561308567,0.5378247970668207,1.96134217801997,-0.05647663212435228,9,1
40,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,0.02577322882928712,0,1
41,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,-0.009984813482327048,1,1
42,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,-0.01896047043342664,2,1
43,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,0.021972733562143357,4,1
44,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,0.008679669151434588,5,1
45,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,-0.04224774405250198,7,1
46,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,0.003706645485835436,8,1
47,-0.6579245540965537,-1.7774596896321229,0.4642499776891851,1.80462864846412,0.01592525997115546,9,1
48,-0.5856003804389597,-1.94997325238122,0.4257879136287565,1.43998788096998,0.07579174139544809,0,1
49,-0.5856003804389597,-1.94997325238122,0.4257879136287565,1.43998788096998,0.04003800223597298,1,1
50,-0.5856003804389597,-1.94997325238122,0.4257879136287565,1.43998788096998,0.04723726012906648,2,1
51,-0.5856003804389597,-1.94997325238122,0.4257879136287565,1.43998788096998,0.01732867567787788,4,1
